Category,Item,GDPR Required,CCPA Required,Status,Notes,Date Completed,Completed By
Script Setup,Cookiebot script added to website,Yes,Yes,Not Started,,,
Script Setup,Cookiebot loads BEFORE GTM,Yes,Yes,Not Started,Critical for consent defaults,,
Script Setup,Correct Cookiebot ID configured,Yes,Yes,Not Started,Check data-cbid attribute,,
Script Setup,data-blockingmode set to auto,Yes,No,Not Started,Required for GDPR auto-blocking,,
Banner Configuration,Banner displays on first visit,Yes,Yes,Not Started,,,
Banner Configuration,Accept All button present,Yes,Yes,Not Started,,,
Banner Configuration,Deny All button present (equal prominence),Yes,No,Not Started,GDPR requirement,,
Banner Configuration,Customize option available,Yes,Yes,Not Started,Allow granular consent,,
Banner Configuration,Privacy policy linked in banner,Yes,Yes,Not Started,,,
Banner Configuration,Cookie policy linked in banner,Yes,Yes,Not Started,,,
Banner Configuration,Do Not Sell link (CCPA),No,Yes,Not Started,California requirement,,
Cookie Scanning,Initial cookie scan completed,Yes,Yes,Not Started,,,
Cookie Scanning,All cookies categorized correctly,Yes,Yes,Not Started,No unknown cookies,,
Cookie Scanning,Cookie descriptions accurate,Yes,Yes,Not Started,For cookie declaration,,
Cookie Scanning,Marketing cookies identified,Yes,Yes,Not Started,_fbp _gcl_* ttclid etc,,
Cookie Scanning,Statistics cookies identified,Yes,Yes,Not Started,_ga _gid etc,,
Cookie Scanning,Necessary cookies documented,Yes,Yes,Not Started,Session security etc,,
Consent Mode,Default state = denied (EEA),Yes,No,Not Started,All non-essential denied,,
Consent Mode,Consent Mode v2 signals present,Yes,Yes,Not Started,ad_storage ad_user_data ad_personalization,,
Consent Mode,Update fires on user consent,Yes,Yes,Not Started,gtag consent update,,
Consent Mode,ad_storage signal configured,Yes,Yes,Not Started,,,
Consent Mode,ad_user_data signal configured (v2),Yes,Yes,Not Started,Required for Google Ads EEA,,
Consent Mode,ad_personalization signal (v2),Yes,Yes,Not Started,Required for remarketing EEA,,
Consent Mode,analytics_storage signal configured,Yes,Yes,Not Started,,,
Consent Mode,Regional defaults configured,Optional,Optional,Not Started,Different rules per region,,
GA4 Configuration,GA4 Configuration tag created,Yes,Yes,Not Started,,,
GA4 Configuration,GA4 tag uses built-in consent checks,Yes,Yes,Not Started,,,
GA4 Configuration,GA4 respects analytics_storage,Yes,Yes,Not Started,,,
GA4 Configuration,Google Signals enabled,Optional,Optional,Not Started,Required for modeling,,
GA4 Configuration,Consent Mode status shows Active in GA4,Yes,Yes,Not Started,Check Data Settings,,
Google Ads,Google Ads Conversion tags created,Optional,Optional,Not Started,If using Google Ads,,
Google Ads,Conversion Linker tag added,Optional,Optional,Not Started,All Pages trigger,,
Google Ads,Conversion tags respect consent,Yes,Yes,Not Started,Built-in checks enabled,,
Google Ads,Enhanced Conversions configured,Optional,Optional,Not Started,If using EC,,
Google Ads,Enhanced Conversions respects ad_user_data,Yes,Yes,Not Started,,,
Google Ads,Remarketing tag respects consent,Yes,Yes,Not Started,,,
Meta Pixel,Meta Pixel blocked until consent,Yes,No,Not Started,Do NOT fire before consent,,
Meta Pixel,Meta Pixel uses consent trigger,Yes,Optional,Not Started,cookie_consent_marketing,,
Meta Pixel,Meta event tags gated by consent,Yes,Optional,Not Started,,,
Meta Pixel,Limited Data Use for CCPA opt-outs,No,Yes,Not Started,LDU mode for California,,
Meta Pixel,No duplicate pixel scripts,Yes,Yes,Not Started,Only one instance,,
TikTok Pixel,TikTok Pixel blocked until consent,Yes,No,Not Started,,,
TikTok Pixel,TikTok Pixel uses consent trigger,Yes,Optional,Not Started,cookie_consent_marketing,,
TikTok Pixel,TikTok event tags gated by consent,Yes,Optional,Not Started,,,
Other Platforms,All marketing tags gated by consent,Yes,Optional,Not Started,LinkedIn Pinterest etc,,
Other Platforms,Statistics tags gated by consent,Yes,Yes,Not Started,Hotjar Clarity etc,,
GTM Configuration,Cookiebot consent variables created,Yes,Yes,Not Started,Marketing Statistics Preferences,,
GTM Configuration,Consent triggers configured,Yes,Yes,Not Started,cookie_consent_* events,,
GTM Configuration,Tags organized by consent category,Optional,Optional,Not Started,Folder structure,,
GTM Configuration,No tags fire before consent (GDPR),Yes,No,Not Started,Test in Preview mode,,
Storage & Cookies,Consent stored correctly,Yes,Yes,Not Started,CookieConsent cookie set,,
Storage & Cookies,Consent remembered across sessions,Yes,Yes,Not Started,12-month default,,
Storage & Cookies,Consent can be withdrawn,Yes,Yes,Not Started,User can change choice,,
Storage & Cookies,Consent records exportable,Yes,Yes,Not Started,From Cookiebot dashboard,,
Testing,Tested: Banner displays on first visit,Yes,Yes,Not Started,Incognito mode test,,
Testing,Tested: Deny All blocks all tags,Yes,No,Not Started,No marketing/stats tags fire,,
Testing,Tested: Accept All enables all tags,Yes,Yes,Not Started,All consented tags fire,,
Testing,Tested: Customize allows granular control,Yes,Yes,Not Started,Stats only marketing only etc,,
Testing,Tested: Consent state in GTM Preview,Yes,Yes,Not Started,Check consent variables,,
Testing,Tested: Consent remembered on return visit,Yes,Yes,Not Started,Banner doesn't reappear,,
Testing,Tested: Mobile devices (iOS Android),Yes,Yes,Not Started,,,
Testing,Tested: Major browsers (Chrome Safari Firefox),Yes,Yes,Not Started,,,
Verification,GA4 shows Consent Mode Active,Yes,Yes,Not Started,Data Settings > Data Collection,,
Verification,Google Ads shows conversions,Optional,Optional,Not Started,If using Ads,,
Verification,Meta Pixel Helper shows no errors,Optional,Optional,Not Started,If using Meta,,
Verification,TikTok Pixel Helper shows no errors,Optional,Optional,Not Started,If using TikTok,,
Verification,No console errors related to consent,Yes,Yes,Not Started,Browser DevTools,,
Documentation,Privacy policy updated with consent info,Yes,Yes,Not Started,Mentions CMP cookies platforms,,
Documentation,Cookie policy page created/updated,Yes,Yes,Not Started,Lists all cookies,,
Documentation,Cookie declaration embedded (optional),Optional,Optional,Not Started,Cookiebot widget,,
Documentation,Terms of Service mention data collection,Optional,Optional,Not Started,,,
Documentation,GDPR data processing agreement with Google,Yes,No,Not Started,Automatic with GA4/Ads,,
Maintenance,Weekly/monthly cookie scans scheduled,Yes,Yes,Not Started,Catch new cookies,,
Maintenance,Process for new cookie review,Yes,Yes,Not Started,Categorize and document,,
Maintenance,Consent banner performance monitored,Optional,Optional,Not Started,Acceptance rates,,
Maintenance,Team trained on consent management,Optional,Optional,Not Started,,,
Compliance Records,Consent implementation date documented,Yes,Yes,Not Started,,,
Compliance Records,Consent policy version tracked,Yes,Yes,Not Started,Update when policies change,,
Compliance Records,Audit trail of consent changes,Yes,Yes,Not Started,Cookiebot provides this,,
Compliance Records,GDPR Article 30 records maintained,Yes,No,Not Started,Data processing records,,
Compliance Records,CCPA consumer request process,No,Yes,Not Started,Opt-out deletion access,,
